code,name,avg_amplitude,adx_ratio,max_rise_6m,ann_volatility
2160,常铝股份,4.21,62.5,52.31,53.55
2161,远 望 谷,4.14,90.0,31.46,46.38
2162,悦心健康,3.6,93.3,30.47,40.22
2163,海南发展,4.3,70.8,68.64,57.49
2164,宁波东力,3.82,86.7,30.57,52.65
2165,红 宝 丽,5.81,92.5,86.85,59.63
2166,莱茵生物,3.01,70.0,17.15,31.15
2167,东方锆业,4.27,64.2,67.76,53.19
2169,智光电气,5.09,100.0,116.99,49.23
2170,芭田股份,3.3,86.7,24.39,37.01
2171,楚江新材,4.02,90.0,58.29,44.47
2172,澳洋健康,3.06,85.8,15.87,38.08
2173,创新医疗,4.72,70.0,75.64,65.03
2174,游族网络,3.81,91.7,41.65,47.42
2176,江特电机,4.64,90.8,82.22,48.28
2177,御银股份,5.04,95.8,46.1,62.87
2178,延华智能,3.17,84.2,14.34,43.42
2179,中航光电,3.61,85.0,32.95,34.28
2180,奔图科技,3.75,89.2,18.93,35.22
2181,粤 传 媒,6.96,90.8,136.94,70.72
2182,宝武镁业,4.49,88.3,65.22,43.6
2183,怡 亚 通,4.62,89.2,62.47,45.72
2184,海得控制,2.94,93.3,18.03,35.4
2185,华天科技,4.54,88.3,100.75,48.81
2186,全 聚 德,2.59,72.5,11.69,30.96
